
turn-left-ll-3-35,0.00
turn-left-ll-3-38,0.00
turn-left-ll-3-41,0.00
turn-left-ll-3-44,0.00
turn-left-ll-3-47,0.00
turn-left-ll-3-50,0.00
turn-left-ll-3-53,0.00
turn-left-ll-3-56,0.00
turn-left-ll-3-59,0.00
turn-left-ll-3-62,-0.55
turn-left-ll-3-65,-0.65
turn-left-ll-3-68,-0.70
turn-left-ll-3-71,-0.70
turn-left-ll-3-74,-0.75
turn-left-ll-3-77,-0.80
turn-left-ll-3-80,-0.80
turn-left-ll-3-83,-0.85
turn-left-ll-3-86,-0.85
turn-left-ll-3-89,-0.90
turn-left-ll-3-92,-0.90
turn-left-ll-3-95,-0.95
turn-left-ll-3-98,-0.95
turn-left-ll-3-101,-0.95
turn-left-ll-3-104,-1.00
turn-left-ll-3-107,-1.00
turn-left-ll-3-110,-1.00
turn-left-ll-3-113,-1.00
turn-left-ll-3-116,-1.00
turn-left-ll-3-119,-1.00
turn-left-ll-3-122,-1.00
turn-left-ll-3-125,-1.00
turn-left-ll-3-128,-1.00
turn-left-ll-3-131,-0.95
turn-left-ll-3-134,-0.95
turn-left-ll-3-137,-0.90
turn-left-ll-3-140,-0.90
turn-left-ll-3-143,-0.85
turn-left-ll-3-146,-0.80
turn-left-ll-3-149,-0.80
turn-left-ll-3-152,-0.80
turn-left-ll-3-155,-0.75
turn-left-ll-3-158,-0.75
turn-left-ll-3-161,-0.70
turn-left-ll-3-164,-0.70
turn-left-ll-3-167,-0.65
turn-left-ll-3-170,-0.65
turn-left-ll-3-173,-0.60
turn-left-ll-3-176,-0.60
turn-left-ll-3-179,-0.55
turn-left-ll-3-182,-0.50
turn-left-ll-3-185,-0.50
turn-left-ll-3-188,-0.50
turn-left-ll-3-191,0.00
turn-left-ll-3-194,0.00
turn-left-ll-3-197,0.00

turn-left-ll-2-35,0.00
turn-left-ll-2-38,0.00
turn-left-ll-2-41,0.00
turn-left-ll-2-44,0.00
turn-left-ll-2-47,0.00
turn-left-ll-2-50,0.00
turn-left-ll-2-53,0.00
turn-left-ll-2-56,0.00
turn-left-ll-2-59,0.00
turn-left-ll-2-62,0.00
turn-left-ll-2-65,-0.60
turn-left-ll-2-68,-0.65
turn-left-ll-2-71,-0.70
turn-left-ll-2-74,-0.75
turn-left-ll-2-77,-0.80
turn-left-ll-2-80,-0.80
turn-left-ll-2-83,-0.85
turn-left-ll-2-86,-0.85
turn-left-ll-2-89,-0.90
turn-left-ll-2-92,-0.90
turn-left-ll-2-95,-0.95
turn-left-ll-2-98,-0.95
turn-left-ll-2-101,-0.95
turn-left-ll-2-104,-1.00
turn-left-ll-2-107,-1.00
turn-left-ll-2-110,-1.00
turn-left-ll-2-113,-1.00
turn-left-ll-2-116,-1.00
turn-left-ll-2-119,-1.00
turn-left-ll-2-122,-1.00
turn-left-ll-2-125,-1.00
turn-left-ll-2-128,-1.00
turn-left-ll-2-131,-0.95
turn-left-ll-2-134,-0.95
turn-left-ll-2-137,-0.90
turn-left-ll-2-140,-0.90
turn-left-ll-2-143,-0.85
turn-left-ll-2-146,-0.85
turn-left-ll-2-149,-0.80
turn-left-ll-2-152,-0.80
turn-left-ll-2-155,-0.75
turn-left-ll-2-158,-0.75
turn-left-ll-2-161,-0.70
turn-left-ll-2-164,-0.70
turn-left-ll-2-167,-0.65
turn-left-ll-2-170,-0.65
turn-left-ll-2-173,-0.60
turn-left-ll-2-176,-0.60
turn-left-ll-2-179,-0.55
turn-left-ll-2-182,-0.55
turn-left-ll-2-185,-0.50
turn-left-ll-2-188,-0.50
turn-left-ll-2-191,-0.50
turn-left-ll-2-194,0.00
turn-left-ll-2-197,0.00

turn-left-ll-1-35,0.00
turn-left-ll-1-38,0.00
turn-left-ll-1-41,0.00
turn-left-ll-1-44,0.00
turn-left-ll-1-47,0.00
turn-left-ll-1-50,0.00
turn-left-ll-1-53,0.00
turn-left-ll-1-56,0.00
turn-left-ll-1-59,0.00
turn-left-ll-1-62,0.00
turn-left-ll-1-65,-0.60
